entity,year,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
AQI,2015,342.2903226,327.9285714,257.71875,304.516129,345.90625,250.8387097,197.1875,231.5625,240.2580645,345.28125,404.8387097,379.75
AQI,2016,441.9032258,316.6,232.78125,289.5483871,272.09375,231.5806452,163.9032258,155.40625,233.9032258,485.1875,428.3225806,385.1875
AQI,2017,354.1935484,346.1666667,279.78125,318.5806452,314.75,116,59.5,75.875,138.76,357.34375,376.4193548,353.28125
AQI,2018,370.2112676,348.5862069,287.65625,228.8387097,234.8125,236.6774194,211.34375,126.0625,105.2258065,153.59375,347.0967742,366.1875
AQI,2019,365.7419355,256.9310345,195.09375,225.7096774,234.84375,185.483871,135,103.3125,106.7741935,334.4375,333.2903226,355.9545455
PM2.5,2015,175.6906452,153.9203571,81.354375,89.76677419,94.65125,86.61967742,50.448125,62.89125,84.81806452,159.978125,222.953871,203.98
PM2.5,2016,258.5425806,148.2313333,96.0390625,118.8474194,91.6221875,78.31290323,54.384375,45.3153125,76.67451613,258.9159375,244.6832258,213.6290625
PM2.5,2017,199.4341935,171.8186667,107.73875,121.246129,126.5746875,53.56516129,32.1475,36.742,64.0252,209.94375,211.9290323,202.31375
PM2.5,2018,216.3656338,188.1537931,135.7021875,96.52967742,85.4446875,89.29677419,76.213125,44.395,37.57645161,59.6471875,183.526129,191.2396875
PM2.5,2019,204.3470968,121.3341379,83.2509375,82.63225806,88.4809375,60.61032258,44.7240625,35.9615625,40.26258065,180.9834375,187.8025806,209.3918182
PM10,2015,276.9712903,234.9396429,136.061875,189.3887097,263.5815625,189.1980645,118.08875,177.050625,205.8848387,276.5403125,392.3454839,424.35
PM10,2016,419.1296774,248.3163333,166.5158621,258.5696154,226.9278125,165.0774194,95.9296875,119.9319355,185.3274194,433.634375,414.9932258,373.926875
PM10,2017,284.9664516,300.5266667,259.355625,304.9787097,319.94,210.7369231,#DIV/0!,67.47875,111.822,299.7146875,315.1319355,303.7184375
PM10,2018,319.814507,299.5958621,260.733125,223.5025806,242.78,243.45,231.3725,119.576875,92.81580645,154.27375,344.0287097,342.3721875
PM10,2019,320.0448387,211.3065517,182.5109375,233.8235484,246.4340625,193.233871,129.4275,86.8965625,99.85354839,308.895625,293.7493548,310.5786364
NO2,2015,36.92548387,41.65678571,24.64625,45.18580645,61.53125,56.84096774,42.7390625,41.65125,49.77612903,57.601875,83.07064516,75.5353125
NO2,2016,77.35032258,68.79833333,53.3725,54.30709677,55.066875,41.66806452,35.5984375,35.9478125,58.28483871,104.5025,102.1106452,77.543125
NO2,2017,67.70806452,68.17033333,59.1425,81.5,72.6159375,63.04516129,37.7015625,44.02266667,28.6164,55.731875,61.72322581,55.20125
NO2,2018,60.42450704,51.65172414,56.163125,46.40677419,47.0928125,48.16419355,31.81625,28.86125,27.39322581,35.1184375,58.73451613,62.9684375
NO2,2019,60.67129032,47.80827586,45.9440625,48.88612903,50.0403125,37.07032258,30.785625,30.5859375,31.03935484,52.7928125,59.6616129,50.69954545
CO,2015,10.26935484,11.13785714,9.8728125,7.209354839,7.7453125,2.16516129,1.454375,1.2234375,1.393225806,2.154375,2.352903226,5.9115625
CO,2016,2.229032258,1.577333333,1.4725,1.513548387,1.220625,2.238387097,1.7753125,1.58125,1.324516129,1.821875,1.286451613,1.1421875
CO,2017,0.767419355,0.749666667,0.4984375,0.671612903,0.836875,0.045483871,0,0.1125,0.3612,1.220625,1.843870968,1.529375
CO,2018,1.701549296,1.56137931,1.489375,1.201935484,1.3896875,1.448064516,0.8228125,0.854375,0.927419355,1.041875,2.030967742,2.2690625
CO,2019,1.904516129,1.342413793,1.178125,1.353870968,1.3578125,1.118387097,1.1075,1.08375,0.94483871,1.7475,1.804516129,1.637272727
SO2,2015,5.594193548,7.863214286,7.765,15.89741935,15.429375,7.32483871,10.5521875,10.5465625,11.34322581,18.2090625,23.32354839,20.238125
SO2,2016,19.27258065,23.79733333,22.1784375,27.68225806,18.03125,11.23290323,8.264375,9.0884375,13.60967742,25.9971875,25.60870968,22.795
SO2,2017,21.40290323,19.04433333,21.7890625,37.46266667,39.0590625,19.55,0,2.34,9.977692308,19.6484375,18.43129032,17.9646875
SO2,2018,19.14549296,16.07206897,13.4028125,16.23774194,13.7778125,12.34225806,9.2459375,10.203125,10.25129032,12.775625,18.34354839,15.98125
SO2,2019,16.77129032,15.84137931,18.51125,21.57322581,18.990625,12.75677419,9.285625,8.8109375,9.087419355,13.054375,13.19709677,9.210454545
O3,2015,25.86870968,30.82964286,29.041875,58.15903226,69.240625,67.12451613,48.0703125,56.020625,57.70612903,75.9825,101.7848387,86.5465625
O3,2016,118.7190323,104.2226667,79.5775,68.47451613,92.5965625,68.94612903,55.964375,58.1553125,82.29,104.060625,41.87096774,39.68375
O3,2017,36.21096774,37.202,30.3528125,41.03466667,48.443125,28.89666667,0,23.93111111,30.6632,58.626875,55.56741935,54.144375
O3,2018,60.16380282,57.15758621,46.5259375,50.19258065,57.2703125,58.16677419,45.2065625,30.89625,26.80322581,34.125625,47.23290323,39.0459375
O3,2019,33.86,34.22896552,41.2503125,53.22387097,53.084375,52.55580645,30.9296875,28.3603125,31.71258065,42.2403125,34.06,28.34136364
